order_id,customer_name,order_amount,order_date,payment_method,gateway_txn_id,status
ORD1041,Pooja Nair,825.81,2026-08-05,UPI,pay_T1590x38,Success
ORD1024,Rahul Kapoor,2474.35,2026-08-03,Card,pay_Q2604x22,Success
ORD1051,Rohan Reddy,3631.29,2026-08-01,UPI,pay_S9821x47,Success
ORD1017,Arjun Mehta,4977.2,2026-08-21,Card,pay_M8177x15,Success
ORD1021,Priya Singh,3987.71,2026-08-14,UPI,pay_G2545x19,Success
ORD1059,Isha Singh,2247.87,2026-08-21,Card,pay_U4185x55,Success
ORD1049,Divya Singh,1139.27,2026-08-09,Card,pay_Z6139x4500,Failed
ORD1060,Sneha Gupta,993.59,2026-08-01,UPI,pay_D7965x56,Success
ORD1029,Rahul Kapoor,3045.63,2026-08-17,UPI,pay_S3579x27,Success
ORD1012,Pooja Kapoor,3881.22,2026-08-17,Netbanking,pay_D5889x10,Success
ORD1008,Karan Singh,3249.0,2026-08-14,UPI,pay_V2040x7,Success
ORD1003,Rohan Nair,2472.62,2026-08-09,UPI,pay_W4598x2,Success
ORD1007,Priya Sharma,4987.43,2026-08-05,UPI,pay_S9085x6,Success
ORD1026,Manish Mehta,1073.79,2026-08-01,UPI,pay_N5345x24,Success
ORD1044,Vikram Gupta,416.5,2026-08-11,Card,pay_P5065x41,Success
ORD1019,Pooja Nair,3266.18,2026-08-08,Netbanking,pay_C1514x17,Success
ORD1039,Pooja Iyer,2596.1,2026-08-02,Netbanking,pay_C7939x36,Success
ORD1028,Rahul Nair,4852.93,2026-08-19,UPI,pay_Z9883x26,Success
ORD1018,Divya Reddy,1356.08,2026-08-11,UPI,pay_A4770x16,Success
ORD1056,Manish Gupta,2376.39,2026-08-07,Card,pay_S8752x52,Success
ORD1033,Divya Joshi,1786.03,2026-08-03,Card,pay_A8508x31,Success
ORD1006,Divya Singh,2938.43,2026-08-09,Netbanking,pay_Z8019x5,Success
ORD1036,Amit Iyer,4140.39,2026-08-10,Netbanking,pay_X2697x34,Success
ORD1043,Sneha Gupta,783.13,2026-08-18,Netbanking,pay_P3532x40,Success
ORD1053,Isha Iyer,1753.64,2026-08-14,Netbanking,pay_L7592x49,Success
ORD1011,Neha Sharma,1898.82,2026-08-10,Netbanking,pay_P3591x9,Success
ORD1013,Rahul Joshi,2057.4,2026-08-06,UPI,pay_T9689x11,Success
ORD1040,Amit Mehta,1867.72,2026-08-05,UPI,pay_W5291x37,Success
ORD1016,Arjun Reddy,2780.07,2026-08-20,Card,pay_P4470x14,Success
ORD1048,Divya Singh,1139.27,2026-08-09,Card,pay_B2776x45,Success
ORD1009,Karan Singh,3249.0,2026-08-14,UPI,pay_S5119x700,Failed
ORD1034,Ananya Verma,2826.88,2026-08-17,UPI,pay_J3170x32,Success
ORD1032,Karan Gupta,1260.02,2026-08-11,Card,pay_H5351x30,Refunded
ORD1062,Neha Gupta,3179.47,2026-08-17,Card,pay_P9976x58,Success
ORD1052,Rohan Verma,628.88,2026-08-11,Card,pay_V6143x48,Success
ORD1047,Ananya Sharma,3314.96,2026-08-13,Card,pay_X9785x44,Success
ORD1042,Ananya Reddy,898.99,2026-08-10,Card,pay_M1653x39,Success
ORD1020,Amit Joshi,1608.84,2026-08-16,UPI,pay_G9834x18,Success
ORD1023,Amit Singh,1468.68,2026-08-07,UPI,pay_T8350x21,Success
ORD1001,Rohan Nair,4372.47,2026-08-13,UPI,pay_J8428x0,Success
ORD1031,Rohan Joshi,3094.24,2026-08-20,Netbanking,pay_C7868x29,Success
ORD1058,Sneha Mehta,4090.85,2026-08-05,UPI,pay_A1757x54,Refunded
ORD1037,Divya Reddy,3789.36,2026-08-05,UPI,pay_J5616x35,Success
ORD1002,Divya Gupta,1284.68,2026-08-09,Card,pay_Y2169x1,Success
ORD1038,Divya Reddy,3789.36,2026-08-05,UPI,pay_G5325x3500,Failed
ORD1061,Manish Mehta,2919.81,2026-08-04,UPI,pay_Q3184x57,Success
ORD1050,Divya Reddy,3149.18,2026-08-17,Card,pay_D7311x46,Success
ORD1057,Priya Reddy,2722.62,2026-08-21,Card,pay_V6491x53,Success
ORD1004,Priya Reddy,4162.47,2026-08-11,UPI,pay_N5386x3,Success
ORD1054,Divya Joshi,2276.1,2026-08-13,UPI,pay_X3851x50,Success
ORD1030,Karan Verma,622.05,2026-08-03,UPI,pay_X4853x28,Refunded
ORD1035,Divya Kapoor,1041.41,2026-08-18,Card,pay_Y5956x33,Success
ORD1022,Rahul Singh,2232.18,2026-08-02,Card,pay_X2612x20,Success
ORD1055,Sneha Singh,2875.3,2026-08-01,Card,pay_K5700x51,Success
ORD1027,Amit Reddy,4799.39,2026-08-18,Netbanking,pay_X8973x25,Success
ORD1005,Amit Iyer,3380.56,2026-08-13,UPI,pay_W8517x4,Success
ORD1014,Rahul Reddy,391.54,2026-08-12,Card,pay_K4923x12,Success
ORD1046,Vikram Verma,1347.74,2026-08-07,UPI,pay_N6378x43,Success
ORD1063,Manish Kapoor,1518.2,2026-08-08,Card,pay_W5543x59,Success
ORD1045,Pooja Mehta,4399.18,2026-08-16,Card,pay_H4269x42,Success
ORD1025,Neha Mehta,4653.92,2026-08-08,UPI,pay_F7658x23,Success
ORD1015,Amit Mehta,2584.16,2026-08-03,Netbanking,pay_T3060x13,Success
ORD1010,Rohan Kapoor,4345.66,2026-08-01,Netbanking,pay_X2876x8,Success
